Time,08.26 (Tue),08.27 (Wed),Time.1,08.28 (Thu)
,,,,
,Plenary Talk,Plenary Talk,,Plenary Talk
chair,Hyeng Keun Koo,Tomonori Uchiyama,,Takanori Adachi
09:45 - 10:45,Xuedong He,Hyeng Keun Koo,09:45 - 10:45,Jiro Akahori
10:45 - 11:00,Break,Break,10:45 - 11:00,Break
,,,,
,Invited Talk,Invited Talk,,Invited Talk
chair,Hyeng Keun Koo,Tomonori Uchiyama,,Takanori Adachi
11:00 - 11:30,Takanori Adachi,Toshinao Yoshiba,11:00 - 11:30,Jaegi Jeon
11:30 - 12:00,Shuenn-Jyi Sheu,Panki Kim,11:30 - 12:00,Tomooki Yuasa
,,,,
12:00 - 13:30,Lunch,Lunch,12:00 - 13:30,Lunch
,,,,
,Invited Talk,Invited Talk,,Invited Talk
chair,Jin Hyuk Choi,Bong-Gyu Jang,,
13:30 - 14:00,Tomonori Uchiyama,Yuchao Dong,13:30 - 14:00,Kohta Takehara
14:00 - 14:30,Hoi Ying Wong,Lingfei Li,14:00 - 14:30,Jin Hyuk Choi
14:30 - 15:00,Chii-Ruey Hwang,Tingjin Yan,14:30 - 15:00,Ji-Hun Yoon
15:00 - 15:20,Break,Break,15:00 - 15:30,Donghyun Kim
,,,,
,Invited Talk,Invited Talk,,
chair,Shuenn-Jyi Sheu,Hoi Ying Wong,,
15:20 - 15:50,Kazuhiro Yasuda,Chi Seng Pun,,
15:50 - 16:20,Li-Hsien Sun,Kelvin Shuangjian Zhang,,
16:20 - 16:50,Hiroaki Hata,Bong-Gyu Jang,,
16:50 - 17:10,Break,Break,,
,,,,
chair,Donghyun Kim,Ji-Hun Yoon,,
17:10 - 17:40,Mei Choi Chiu,Kyoko Yagi,,
17:40 - 18:10,Jun Moon,Teruyoshi Suzuki,,
,,,,
18:10 - 20:00,Dinner,Dinner,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
